story_id,character,question,run_number,answer,token_data,is_hallucinated,use_for_training
1,Alexander,What item did Alexander drop?,1,It was a glass cup.,"[{""token"": ""it"", ""logprob"": -3.980787754058838}, {""token"": ""was"", ""logprob"": -1.48093843460083}, {""token"": ""a"", ""logprob"": -0.14449183642864227}, {""token"": ""glass"", ""logprob"": -0.5987434387207031}, {""token"": ""cup"", ""logprob"": -0.23545123636722565}, {""token"": ""."", ""logprob"": -3.0793962478637695}]",0,1.0
1,Alexander,What item did Alexander drop?,2,What items did Alexander drop? A: He dropped a cup and made the glass crash.,"[{""token"": ""what"", ""logprob"": -3.305995464324951}, {""token"": ""items"", ""logprob"": -2.9117257595062256}, {""token"": ""did"", ""logprob"": -0.15796679258346558}, {""token"": ""alexander"", ""logprob"": -0.4167785048484802}, {""token"": ""drop"", ""logprob"": -0.10394872725009918}, {""token"": ""?"", ""logprob"": -0.3020297884941101}, {""token"": ""a"", ""logprob"": -1.7215040922164917}, {""token"": "":"", ""logprob"": -0.09225171059370041}, {""token"": ""he"", ""logprob"": -4.164055347442627}, {""token"": ""dropped"", ""logprob"": -0.13775822520256042}, {""token"": ""a"", ""logprob"": -0.21321840584278107}, {""token"": ""cup"", ""logprob"": -2.3957414627075195}, {""token"": ""and"", ""logprob"": -2.662550210952759}, {""token"": ""made"", ""logprob"": -4.314208030700684}, {""token"": ""the"", ""logprob"": -3.6585628986358643}, {""token"": ""glass"", ""logprob"": -2.2605361938476562}, {""token"": ""crash"", ""logprob"": -2.5813751220703125}, {""token"": ""."", ""logprob"": -1.6458213329315186}, {""token"": ""q"", ""logprob"": -1.787503719329834}, {""token"": "":"", ""logprob"": -0.01751081459224224}]",0,1.0
1,Alexander,What item did Alexander drop?,3,The broken cup,"[{""token"": ""the"", ""logprob"": -1.9123529195785522}, {""token"": ""broken"", ""logprob"": -2.8682284355163574}, {""token"": ""cup"", ""logprob"": -0.7489297986030579}]",0,0.0
1,Alexander,What item did Alexander drop?,4,The item Alexander dropped was a glass cup.,"[{""token"": ""the"", ""logprob"": -1.9123529195785522}, {""token"": ""item"", ""logprob"": -3.2457385063171387}, {""token"": ""alexander"", ""logprob"": -2.622788429260254}, {""token"": ""dropped"", ""logprob"": -0.058274026960134506}, {""token"": ""was"", ""logprob"": -0.1837862879037857}, {""token"": ""a"", ""logprob"": -0.478041410446167}, {""token"": ""glass"", ""logprob"": -0.40695688128471375}, {""token"": ""cup"", ""logprob"": -0.18405427038669586}, {""token"": ""."", ""logprob"": -2.979037284851074}]",0,1.0
1,Alexander,What item did Alexander drop?,5,Answer the glass cup.,"[{""token"": ""answer"", ""logprob"": -3.11867094039917}, {""token"": ""the"", ""logprob"": -2.90368914604187}, {""token"": ""glass"", ""logprob"": -3.191287040710449}, {""token"": ""cup"", ""logprob"": -0.9299656748771667}, {""token"": ""."", ""logprob"": -0.7416938543319702}]",0,1.0
1,Grace,What item did Grace drop?,1,A Glass cup.,"[{""token"": ""a"", ""logprob"": -1.9923274517059326}, {""token"": ""glass"", ""logprob"": -3.803034782409668}, {""token"": ""cup"", ""logprob"": -1.669554352760315}, {""token"": ""."", ""logprob"": -0.8563479781150818}, {""token"": ""q"", ""logprob"": -0.8048068284988403}, {""token"": "":"", ""logprob"": -0.012367818504571915}]",1,1.0
1,Grace,What item did Grace drop?,2,She dropped a plate.,"[{""token"": ""she"", ""logprob"": -4.484594345092773}, {""token"": ""dropped"", ""logprob"": -0.2399350255727768}, {""token"": ""a"", ""logprob"": -0.4859880208969116}, {""token"": ""plate"", ""logprob"": -3.5964126586914062}, {""token"": ""."", ""logprob"": -0.9950777292251587}, {""token"": ""q"", ""logprob"": -2.4019887447357178}, {""token"": "":"", ""logprob"": -0.017696231603622437}]",1,1.0
1,Grace,What item did Grace drop?,3,0 A: 1,"[{""token"": ""0"", ""logprob"": -4.0048182010650635}, {""token"": ""a"", ""logprob"": -4.326854228973389}, {""token"": "":"", ""logprob"": -0.1885833889245987}, {""token"": ""1"", ""logprob"": -0.8531173467636108}]",1,0.0
1,Grace,What item did Grace drop?,4,Which item did Grace drop? D: What did Grace drop? E: Who did Grace drop? F: Why did you pick the cup off the counter in a safer location?,"[{""token"": ""which"", ""logprob"": -4.953927993774414}, {""token"": ""item"", ""logprob"": -1.5091907978057861}, {""token"": ""did"", ""logprob"": -0.7018073201179504}, {""token"": ""grace"", ""logprob"": -0.07427527010440826}, {""token"": ""drop"", ""logprob"": -0.022353235632181168}, {""token"": ""?"", ""logprob"": -0.37447622418403625}, {""token"": ""d"", ""logprob"": -4.877678871154785}, {""token"": "":"", ""logprob"": -0.36864298582077026}, {""token"": ""what"", ""logprob"": -0.9772491455078125}, {""token"": ""did"", ""logprob"": -2.4574241638183594}, {""token"": ""grace"", ""logprob"": -0.0176545362919569}, {""token"": ""drop"", ""logprob"": -0.006714875344187021}, {""token"": ""?"", ""logprob"": -0.07398614287376404}, {""token"": ""e"", ""logprob"": -0.47164708375930786}, {""token"": "":"", ""logprob"": -0.020894180983304977}, {""token"": ""who"", ""logprob"": -4.5463361740112305}, {""token"": ""did"", ""logprob"": -0.6148454546928406}, {""token"": ""grace"", ""logprob"": -0.046220868825912476}, {""token"": ""drop"", ""logprob"": -0.009046165272593498}, {""token"": ""?"", ""logprob"": -0.3989774286746979}, {""token"": ""f"", ""logprob"": -1.031302571296692}, {""token"": "":"", ""logprob"": -0.008830898441374302}, {""token"": ""why"", ""logprob"": -1.65455961227417}, {""token"": ""did"", ""logprob"": -0.07942590117454529}, {""token"": ""you"", ""logprob"": -4.260724067687988}, {""token"": ""pick"", ""logprob"": -4.668639183044434}, {""token"": ""the"", ""logprob"": -2.334785223007202}, {""token"": ""cup"", ""logprob"": -5.041355609893799}, {""token"": ""off"", ""logprob"": -3.5505995750427246}, {""token"": ""the"", ""logprob"": -0.0838470384478569}, {""token"": ""counter"", ""logprob"": -0.43526381254196167}, {""token"": ""in"", ""logprob"": -4.615514278411865}, {""token"": ""a"", ""logprob"": -4.547981262207031}, {""token"": ""safer"", ""logprob"": -4.3101701736450195}, {""token"": ""location"", ""logprob"": -2.7831618785858154}, {""token"": ""?"", ""logprob"": -2.410796880722046}]",1,0.0
1,Grace,What item did Grace drop?,5,The item in question here was a cup of broken glass. The entire reason for this is to demonstrate that one cannot simply drop an entire room and not think about what one did as it might make one more carefull.,"[{""token"": ""the"", ""logprob"": -2.2571163177490234}, {""token"": ""item"", ""logprob"": -3.436245918273926}, {""token"": ""in"", ""logprob"": -3.573637008666992}, {""token"": ""question"", ""logprob"": -0.7483150362968445}, {""token"": ""here"", ""logprob"": -3.449474811553955}, {""token"": ""was"", ""logprob"": -2.329738140106201}, {""token"": ""a"", ""logprob"": -0.8551795482635498}, {""token"": ""cup"", ""logprob"": -3.3152217864990234}, {""token"": ""of"", ""logprob"": -2.112821340560913}, {""token"": ""broken"", ""logprob"": -2.878387689590454}, {""token"": ""glass"", ""logprob"": -0.735716700553894}, {""token"": ""."", ""logprob"": -0.5478769540786743}, {""token"": ""the"", ""logprob"": -2.455832004547119}, {""token"": ""entire"", ""logprob"": -5.419764518737793}, {""token"": ""reason"", ""logprob"": -4.93380069732666}, {""token"": ""for"", ""logprob"": -0.46736234426498413}, {""token"": ""this"", ""logprob"": -0.967017650604248}, {""token"": ""is"", ""logprob"": -2.9032835960388184}, {""token"": ""to"", ""logprob"": -1.398992657661438}, {""token"": ""demonstrate"", ""logprob"": -3.424999475479126}, {""token"": ""that"", ""logprob"": -1.3076708316802979}, {""token"": ""one"", ""logprob"": -3.7219879627227783}, {""token"": ""cannot"", ""logprob"": -4.143886089324951}, {""token"": ""simply"", ""logprob"": -2.9010136127471924}, {""token"": ""drop"", ""logprob"": -1.7594822645187378}, {""token"": ""an"", ""logprob"": -1.4837807416915894}, {""token"": ""entire"", ""logprob"": -2.6887686252593994}, {""token"": ""room"", ""logprob"": -3.926692008972168}, {""token"": ""and"", ""logprob"": -4.100667476654053}, {""token"": ""not"", ""logprob"": -2.6452622413635254}, {""token"": ""think"", ""logprob"": -4.467001914978027}, {""token"": ""about"", ""logprob"": -0.7425221800804138}, {""token"": ""what"", ""logprob"": -2.6113648414611816}, {""token"": ""one"", ""logprob"": -2.3920140266418457}, {""token"": ""did"", ""logprob"": -1.6151608228683472}, {""token"": ""as"", ""logprob"": -4.32089900970459}, {""token"": ""it"", ""logprob"": -3.2890632152557373}, {""token"": ""might"", ""logprob"": -4.516898155212402}, {""token"": ""make"", ""logprob"": -4.174626350402832}, {""token"": ""one"", ""logprob"": -2.304711103439331}, {""token"": ""more"", ""logprob"": -4.062843322753906}, {""token"": ""careful"", ""logprob"": -3.2908438444137573}, {""token"": ""##l"", ""logprob"": -0.9845976829528809}, {""token"": ""."", ""logprob"": -1.931607961654663}, {""token"": ""q"", ""logprob"": -2.726107120513916}, {""token"": "":"", ""logprob"": -0.023749055340886116}]",1,0.0
2,Liam,What item did Liam drop?,1,"Liam dropped the glass that broke. He could tell that was a little funny by how it made him drop and we have to laugh because that's how he wobbled, which is probably the funniest accident you ever had.","[{""token"": ""liam"", ""logprob"": -3.872802257537842}, {""token"": ""dropped"", ""logprob"": -0.17572729289531708}, {""token"": ""the"", ""logprob"": -2.0893685817718506}, {""token"": ""glass"", ""logprob"": -0.6146599650382996}, {""token"": ""that"", ""logprob"": -2.9924843311309814}, {""token"": ""broke"", ""logprob"": -3.3938703536987305}, {""token"": ""."", ""logprob"": -2.4943435192108154}, {""token"": ""he"", ""logprob"": -3.7332077026367188}, {""token"": ""could"", ""logprob"": -5.177592754364014}, {""token"": ""tell"", ""logprob"": -3.603299140930176}, {""token"": ""that"", ""logprob"": -1.876658320426941}, {""token"": ""was"", ""logprob"": -4.085089683532715}, {""token"": ""a"", ""logprob"": -1.27076256275177}, {""token"": ""little"", ""logprob"": -3.384538173675537}, {""token"": ""funny"", ""logprob"": -3.657524585723877}, {""token"": ""by"", ""logprob"": -4.758270740509033}, {""token"": ""how"", ""logprob"": -2.2241551876068115}, {""token"": ""it"", ""logprob"": -3.6358580589294434}, {""token"": ""made"", ""logprob"": -1.4705653190612793}, {""token"": ""him"", ""logprob"": -0.2811907231807709}, {""token"": ""drop"", ""logprob"": -1.9698073863983154}, {""token"": ""and"", ""logprob"": -3.0123629570007324}, {""token"": ""we"", ""logprob"": -5.497504234313965}, {""token"": ""have"", ""logprob"": -2.767880916595459}, {""token"": ""to"", ""logprob"": -1.1569633483886719}, {""token"": ""laugh"", ""logprob"": -1.239992380142212}, {""token"": ""because"", ""logprob"": -2.8276877403259277}, {""token"": ""that"", ""logprob"": -2.7789080142974854}, {""token"": ""'"", ""logprob"": -2.579054832458496}, {""token"": ""s"", ""logprob"": -2.579054832458496}, {""token"": ""how"", ""logprob"": -2.2383389472961426}, {""token"": ""he"", ""logprob"": -1.8135433197021484}, {""token"": ""wo"", ""logprob"": -1.668086818108956}, {""token"": ""##bbled"", ""logprob"": -0.05531970039010048}, {""token"": "","", ""logprob"": -3.9513027667999268}, {""token"": ""which"", ""logprob"": -2.94276762008667}, {""token"": ""is"", ""logprob"": -1.7544143199920654}, {""token"": ""probably"", ""logprob"": -4.780970573425293}, {""token"": ""the"", ""logprob"": -2.1806883811950684}, {""token"": ""fun"", ""logprob"": -1.9896703958511353}, {""token"": ""##nies"", ""logprob"": -0.023152150213718414}, {""token"": ""##t"", ""logprob"": -0.023152150213718414}, {""token"": ""accident"", ""logprob"": -4.220611095428467}, {""token"": ""you"", ""logprob"": -2.354391574859619}, {""token"": ""ever"", ""logprob"": -3.524883985519409}, {""token"": ""had"", ""logprob"": -0.2812455892562866}, {""token"": ""."", ""logprob"": -2.626500129699707}]",0,1.0
2,Liam,What item did Liam drop?,2,What item did Liam drop?,"[{""token"": ""what"", ""logprob"": -3.493762493133545}, {""token"": ""item"", ""logprob"": -0.38560909032821655}, {""token"": ""did"", ""logprob"": -0.09450630843639374}, {""token"": ""liam"", ""logprob"": -0.4745081961154938}, {""token"": ""drop"", ""logprob"": -0.016974754631519318}, {""token"": ""?"", ""logprob"": -2.2022078037261963}]",0,0.0
2,Liam,What item did Liam drop?,3,The cup of glass item.,"[{""token"": ""the"", ""logprob"": -1.9179881811141968}, {""token"": ""cup"", ""logprob"": -1.7779300212860107}, {""token"": ""of"", ""logprob"": -2.68850040435791}, {""token"": ""glass"", ""logprob"": -2.2170138359069824}, {""token"": ""item"", ""logprob"": -3.667229175567627}, {""token"": ""."", ""logprob"": -1.0762975215911865}]",0,1.0
2,Liam,What item did Liam drop?,4,The cup.,"[{""token"": ""the"", ""logprob"": -1.9179881811141968}, {""token"": ""cup"", ""logprob"": -1.7779300212860107}, {""token"": ""."", ""logprob"": -1.1348772048950195}]",0,1.0
2,Liam,What item did Liam drop?,5,A glass cup,"[{""token"": ""a"", ""logprob"": -1.3503535985946655}, {""token"": ""glass"", ""logprob"": -0.21754971146583557}, {""token"": ""cup"", ""logprob"": -0.03661956638097763}]",0,1.0
2,James,What item did James drop?,1,What items did Liam drop? A: What items did James drop?,"[{""token"": ""what"", ""logprob"": -3.210082530975342}, {""token"": ""items"", ""logprob"": -3.184584856033325}, {""token"": ""did"", ""logprob"": -0.11163875460624695}, {""token"": ""liam"", ""logprob"": -1.0217417478561401}, {""token"": ""drop"", ""logprob"": -0.20693986117839813}, {""token"": ""?"", ""logprob"": -0.186041459441185}, {""token"": ""a"", ""logprob"": -1.00184965133667}, {""token"": "":"", ""logprob"": -0.05787200480699539}, {""token"": ""what"", ""logprob"": -0.7369987368583679}, {""token"": ""items"", ""logprob"": -0.8331712484359741}, {""token"": ""did"", ""logprob"": -0.13893313705921173}, {""token"": ""james"", ""logprob"": -0.49393364787101746}, {""token"": ""drop"", ""logprob"": -0.23516812920570374}, {""token"": ""?"", ""logprob"": -3.2470850944519043}]",1,0.0
2,James,What item did James drop?,2,Liam. (a picture of a glass that broke up.) A: James told a funny joke and I laughed so hard it made my body move.,"[{""token"": ""liam"", ""logprob"": -4.390750408172607}, {""token"": ""."", ""logprob"": -3.626384735107422}, {""token"": ""("", ""logprob"": -4.305274963378906}, {""token"": ""a"", ""logprob"": -4.974206924438477}, {""token"": ""picture"", ""logprob"": -4.33111572265625}, {""token"": ""of"", ""logprob"": -0.6328615546226501}, {""token"": ""a"", ""logprob"": -0.8570212125778198}, {""token"": ""glass"", ""logprob"": -1.2344071865081787}, {""token"": ""that"", ""logprob"": -2.6721510887145996}, {""token"": ""broke"", ""logprob"": -1.671256184577942}, {""token"": ""up"", ""logprob"": -3.1955504417419434}, {""token"": ""."", ""logprob"": -3.1722097396850586}, {""token"": "")"", ""logprob"": -3.1722097396850586}, {""token"": ""a"", ""logprob"": -3.44659423828125}, {""token"": "":"", ""logprob"": -0.4802844226360321}, {""token"": ""james"", ""logprob"": -1.233534574508667}, {""token"": ""told"", ""logprob"": -3.931197166442871}, {""token"": ""a"", ""logprob"": -0.07800020277500153}, {""token"": ""funny"", ""logprob"": -0.23094159364700317}, {""token"": ""joke"", ""logprob"": -0.02163056656718254}, {""token"": ""and"", ""logprob"": -3.1635844707489014}, {""token"": ""i"", ""logprob"": -4.437568664550781}, {""token"": ""laughed"", ""logprob"": -0.25546181201934814}, {""token"": ""so"", ""logprob"": -0.11670958250761032}, {""token"": ""hard"", ""logprob"": -0.015080018900334835}, {""token"": ""it"", ""logprob"": -4.178489685058594}, {""token"": ""made"", ""logprob"": -1.3299199342727661}, {""token"": ""my"", ""logprob"": -2.7294321060180664}, {""token"": ""body"", ""logprob"": -1.734987735748291}, {""token"": ""move"", ""logprob"": -3.16823410987854}, {""token"": ""."", ""logprob"": -0.46019017696380615}, {""token"": ""q"", ""logprob"": -3.812631130218506}, {""token"": "":"", ""logprob"": -0.02453661896288395}]",1,0.0
2,James,What item did James drop?,3,glass cups.,"[{""token"": ""glass"", ""logprob"": -4.443543910980225}, {""token"": ""cups"", ""logprob"": -2.0618748664855957}, {""token"": ""."", ""logprob"": -1.2527360916137695}]",1,1.0
2,James,What item did James drop?,4,The glass cup that James dropped.,"[{""token"": ""the"", ""logprob"": -1.962424635887146}, {""token"": ""glass"", ""logprob"": -0.9935055375099182}, {""token"": ""cup"", ""logprob"": -0.4048156142234802}, {""token"": ""that"", ""logprob"": -2.3935182094573975}, {""token"": ""james"", ""logprob"": -0.6798343062400818}, {""token"": ""dropped"", ""logprob"": -0.10923431068658829}, {""token"": ""."", ""logprob"": -0.7524444460868835}, {""token"": ""q"", ""logprob"": -1.301781177520752}, {""token"": "":"", ""logprob"": -0.010222693905234337}]",1,1.0
2,James,What item did James drop?,5,glass cup.,"[{""token"": ""glass"", ""logprob"": -4.443543910980225}, {""token"": ""cup"", ""logprob"": -0.4508347511291504}, {""token"": ""."", ""logprob"": -3.168947696685791}]",1,1.0
3,Olivia,Why did Olivia slip?,1,Olivia slipped on a wet floor.,"[{""token"": ""olivia"", ""logprob"": -1.2805060148239136}, {""token"": ""slipped"", ""logprob"": -0.12749625742435455}, {""token"": ""on"", ""logprob"": -1.5367426872253418}, {""token"": ""a"", ""logprob"": -0.1409309357404709}, {""token"": ""wet"", ""logprob"": -0.11290978640317917}, {""token"": ""floor"", ""logprob"": -0.02160373516380787}, {""token"": ""."", ""logprob"": -1.3104230165481567}]",0,1.0
3,Olivia,Why did Olivia slip?,2,She slipped because they walked in to the store without a thought of it being wet and slippery. If I had to pick one sentence: Why did Olivia slip? Then explain how Olivia's slip helped them from making another mistake by not picking their attention on a slippery floor or when picking ice cream flavors.,"[{""token"": ""she"", ""logprob"": -1.8700977563858032}, {""token"": ""slipped"", ""logprob"": -0.30820050835609436}, {""token"": ""because"", ""logprob"": -1.0397992134094238}, {""token"": ""they"", ""logprob"": -3.5508029460906982}, {""token"": ""walked"", ""logprob"": -2.729846477508545}, {""token"": ""in"", ""logprob"": -1.083141565322876}, {""token"": ""to"", ""logprob"": -2.8410139083862305}, {""token"": ""the"", ""logprob"": -0.4811944365501404}, {""token"": ""store"", ""logprob"": -2.926819324493408}, {""token"": ""without"", ""logprob"": -2.561851978302002}, {""token"": ""a"", ""logprob"": -1.8346822261810303}, {""token"": ""thought"", ""logprob"": -3.518613815307617}, {""token"": ""of"", ""logprob"": -1.8033661842346191}, {""token"": ""it"", ""logprob"": -2.337449073791504}, {""token"": ""being"", ""logprob"": -1.4754109382629395}, {""token"": ""wet"", ""logprob"": -2.329469680786133}, {""token"": ""and"", ""logprob"": -2.913638114929199}, {""token"": ""slippery"", ""logprob"": -0.5514469146728516}, {""token"": ""."", ""logprob"": -0.7132274508476257}, {""token"": ""if"", ""logprob"": -4.925628662109375}, {""token"": ""i"", ""logprob"": -4.454239845275879}, {""token"": ""had"", ""logprob"": -1.2923756837844849}, {""token"": ""to"", ""logprob"": -2.860889434814453}, {""token"": ""pick"", ""logprob"": -1.8959102630615234}, {""token"": ""one"", ""logprob"": -1.5852062702178955}, {""token"": ""sentence"", ""logprob"": -1.6396310329437256}, {""token"": "":"", ""logprob"": -3.8307549953460693}, {""token"": ""why"", ""logprob"": -3.5023231506347656}, {""token"": ""did"", ""logprob"": -0.0724005401134491}, {""token"": ""olivia"", ""logprob"": -0.033293575048446655}, {""token"": ""slip"", ""logprob"": -0.036839962005615234}, {""token"": ""?"", ""logprob"": -0.4351566731929779}, {""token"": ""then"", ""logprob"": -4.169848442077637}, {""token"": ""explain"", ""logprob"": -4.917137145996094}, {""token"": ""how"", ""logprob"": -1.9359427690505981}, {""token"": ""olivia"", ""logprob"": -2.659518241882324}, {""token"": ""'"", ""logprob"": -2.5339248180389404}, {""token"": ""s"", ""logprob"": -2.5339248180389404}, {""token"": ""slip"", ""logprob"": -1.3134784698486328}, {""token"": ""helped"", ""logprob"": -4.186161518096924}, {""token"": ""them"", ""logprob"": -1.7934134006500244}, {""token"": ""from"", ""logprob"": -3.4387481212615967}, {""token"": ""making"", ""logprob"": -3.804018497467041}, {""token"": ""another"", ""logprob"": -3.063702344894409}, {""token"": ""mistake"", ""logprob"": -1.3967208862304688}, {""token"": ""by"", ""logprob"": -4.190398693084717}, {""token"": ""not"", ""logprob"": -2.864596366882324}, {""token"": ""picking"", ""logprob"": -3.5915188789367676}, {""token"": ""their"", ""logprob"": -4.118310451507568}, {""token"": ""attention"", ""logprob"": -5.510919570922852}, {""token"": ""on"", ""logprob"": -2.1500911712646484}, {""token"": ""a"", ""logprob"": -1.7544190883636475}, {""token"": ""slippery"", ""logprob"": -1.0374906063079834}, {""token"": ""floor"", ""logprob"": -0.12776610255241394}, {""token"": ""or"", ""logprob"": -4.391427993774414}, {""token"": ""when"", ""logprob"": -5.126688003540039}, {""token"": ""picking"", ""logprob"": -3.8797006607055664}, {""token"": ""ice"", ""logprob"": -3.5354409217834473}, {""token"": ""cream"", ""logprob"": -0.16691340506076813}, {""token"": ""flavors"", ""logprob"": -1.1361640691757202}, {""token"": ""."", ""logprob"": -3.332887649536133}]",0,1.0
